41,搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-10-15
42,风之谷,"主演：岛本须美,永井一郎,坂本千夏",1992
43,V字仇杀队,"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",2006-03-17
44,十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13
45,当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-01-17
46,驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-05-14
47,速度与激情5,"主演：范·迪塞尔,保罗·沃克,道恩·强森",2011-05-12
48,放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16
49,勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-24
50,闻香识女人,"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23
