21加勒比海盗主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆上映时间：2003-11-21
22楚门的世界主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇上映时间：1998-06-01(美国)
23射雕英雄传之东成西就主演：张国荣,梁朝伟,张学友上映时间：1993-02-05(中国香港)
24无间道主演：刘德华,梁朝伟,黄秋生上映时间：2003-09-05
25教父2主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿上映时间：1974-12-12(美国)
26蝙蝠侠：黑暗骑士主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特上映时间：2008-07-18(美国)
27指环王1：护戒使者主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒上映时间：2002-04-04
28指环王2：双塔奇兵主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒上映时间：2003-04-25
29活着主演：葛优,巩俐,牛犇上映时间：1994-05-18(法国)
30天堂电影院主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托上映时间：1988-11-17(意大利)
