11喜剧之王主演：周星驰,莫文蔚,张柏芝上映时间：1999-02-13(中国香港)
12大闹天宫主演：邱岳峰,毕克,富润生上映时间：1965-12-31
13音乐之声主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克上映时间：1965-03-02(美国)
14春光乍泄主演：张国荣,梁朝伟,张震上映时间：1997-05-30(中国香港)
15剪刀手爱德华主演：约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特上映时间：1990-12-06(美国)
16美丽人生主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼上映时间：1997-12-20(意大利)
17海上钢琴师主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩上映时间：1998-10-28(意大利)
18黑客帝国主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩上映时间：2000-01-14
19指环王3：王者无敌主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒上映时间：2004-03-15
20哈利·波特与魔法石主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森上映时间：2002-01-26
