1霸王别姬主演：张国荣,张丰毅,巩俐上映时间：1993-01-01
2肖申克的救赎主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿上映时间：1994-09-10(加拿大)
3罗马假日主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特上映时间：1953-09-02(美国)
4这个杀手不太冷主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼上映时间：1994-09-14(法国)
5泰坦尼克号主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩上映时间：1998-04-03
6唐伯虎点秋香主演：周星驰,巩俐,郑佩佩上映时间：1993-07-01(中国香港)
7魂断蓝桥主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森上映时间：1940-05-17(美国)
8乱世佳人主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰上映时间：1939-12-15(美国)
9天空之城主演：寺田农,鹫尾真知子,龟山助清上映时间：1992
10辛德勒的名单主演：连姆·尼森,拉尔夫·费因斯,本·金斯利上映时间：1993-12-15(美国)
