61末代皇帝主演：尊龙,陈冲,彼得·奥图尔上映时间：1987-10-23
62美丽心灵主演：罗素·克洛,詹妮弗·康纳利,艾德·哈里斯上映时间：2001-12-21(美国)
63无敌破坏王主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇上映时间：2012-11-06
64倩女幽魂主演：张国荣,王祖贤,午马上映时间：2011-04-30
65夜访吸血鬼主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特上映时间：1994-11-11(美国)
66蝙蝠侠：黑暗骑士崛起主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼上映时间：2012-08-27
67哈利·波特与死亡圣器（下）主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森上映时间：2011-08-04
68本杰明·巴顿奇事主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森上映时间：2008-12-25(美国)
69钢琴家主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基上映时间：2002-09-25(法国)
70甜蜜蜜主演：黎明,张曼玉,曾志伟上映时间：2015-02-13
