71触不可及主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼上映时间：2011-11-02(法国)
72新龙门客栈主演：张曼玉,梁家辉,甄子丹上映时间：2012-02-24
73熔炉主演：孔刘,郑有美,金智英上映时间：2011-09-22(韩国)
74初恋这件小事主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考上映时间：2012-06-05
75大话西游之大圣娶亲主演：周星驰,朱茵,莫文蔚上映时间：2014-10-24
76小鞋子主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi上映时间：1999-01-22(美国)
77教父主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩上映时间：2015-04-18
78素媛主演：李来,薛耿求,严志媛上映时间：2013-10-02(韩国)
79萤火之森主演：内山昂辉,佐仓绫音,后藤弘树上映时间：2011-09-17(日本)
80穿条纹睡衣的男孩主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯上映时间：2008-09-12(英国)
