31机器人总动员主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林上映时间：2008-06-27(美国)
32狮子王主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯上映时间：1995-07-15
33拯救大兵瑞恩主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔上映时间：1998-11-13
34忠犬八公的故事主演：Forest,理查·基尔,琼·艾伦上映时间：2010-03-12(英国)
35哈尔的移动城堡主演：倍赏千惠子,木村拓哉,美轮明宏上映时间：2004-11-20(日本)
36疯狂原始人主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹上映时间：2013-04-20
37阿凡达主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹上映时间：2010-01-04
38盗梦空间主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特上映时间：2010-09-01
39幽灵公主主演：松田洋治,石田百合子,田中裕子上映时间：1998-05-01
40东邪西毒主演：张国荣,梁朝伟,刘嘉玲上映时间：1994-09-17
