51三傻大闹宝莱坞主演：阿米尔·汗,黄渤,卡琳娜·卡普上映时间：2011-12-08
52黑客帝国3：矩阵革命主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯上映时间：2003-11-05
53断背山主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯上映时间：2006-01-13(美国)
54神偷奶爸主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德上映时间：2010-07-09(美国)
55少年派的奇幻漂流主演：苏拉·沙玛,伊尔凡·可汗,塔布上映时间：2012-11-22
56飞屋环游记主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森上映时间：2009-08-04
57鬼子来了主演：姜文,姜宏波,陈强上映时间：2000-05-12(法国戛纳)
58大话西游之月光宝盒主演：周星驰,莫文蔚,吴孟达上映时间：2014-10-24
59怦然心动主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因上映时间：2010-08-06(美国)
60致命魔术主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩上映时间：2006-10-20(美国)
