41搏击俱乐部主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特上映时间：1999-10-15(美国)
42风之谷主演：岛本须美,永井一郎,坂本千夏上映时间：1992
43V字仇杀队主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞上映时间：2006-03-17(美国)
44十二怒汉主演：亨利·方达,李·科布,马丁·鲍尔萨姆上映时间：1957-04-13(美国)
45当幸福来敲门主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿上映时间：2008-01-17
46驯龙高手主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉上映时间：2010-05-14
47速度与激情5主演：范·迪塞尔,保罗·沃克,道恩·强森上映时间：2011-05-12
48放牛班的春天主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔上映时间：2004-10-16
49勇敢的心主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉上映时间：1995-05-24(美国)
50闻香识女人主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔上映时间：1992-12-23(美国)
