31,机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27
32,狮子王,"主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",1995-07-15
33,拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998-11-13
34,忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",2010-03-12
35,哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",2004-11-20
36,疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20
37,阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04
38,盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01
39,幽灵公主,"主演：松田洋治,石田百合子,田中裕子",1998-05-01
40,东邪西毒,"主演：张国荣,梁朝伟,刘嘉玲",1994-09-17
